1,1,V1_L,-10.07826528,-84.15942659,1.758543296,L,V1,1
2,2,V2_L,-12.04403573,-82.05916973,4.029322123,L,V2,2
3,3,V3_L,-16.60667042,-84.79341402,7.258654658,L,V3,3
4,4,V4_L,-29.55646173,-86.00857382,-1.542032622,L,V4,4
5,5,IPS1_L,-24.45573958,-74.77555682,38.04683038,L,IPS1,5
6,6,V3A_L,-15.32679142,-90.37654039,27.93336376,L,V3A,6
7,7,V3B_L,-27.17057903,-81.71830986,17.57120501,L,V3B,7
8,8,V6_L,-15.10199715,-79.08273894,30.83594864,L,V6,8
9,9,V6A_L,-21.27654867,-85.8960177,42.0210177,L,V6A,9
10,10,V7_L,-24.51741294,-86.38208955,29.84875622,L,V7,10
11,11,FFC_L,-42.48206861,-61.12266112,-18.09199584,L,FFC,11
12,12,PIT_L,-43.89942529,-84.37428161,-10.66882184,L,PIT,12
13,13,V8_L,-30.09919177,-75.97869214,-13.11756062,L,V8,13
14,14,VMV1_L,-21.47390841,-53.4057508,-5.958466454,L,VMV1,14
15,15,VMV2_L,-28.70735524,-53.30359937,-6.179968701,L,VMV2,15
16,16,VMV3_L,-28.04569607,-60.77577046,-11.38257173,L,VMV3,16
17,17,VVC_L,-31.56614395,-50.59107358,-18.44350623,L,VVC,17
18,18,FST_L,-45.27039275,-69.39577039,4.995468278,L,FST,18
19,19,LO1_L,-39.1631664,-82.23101777,8.075928918,L,LO1,19
20,20,LO2_L,-45.7014419,-85.95080577,1.887192536,L,LO2,20
21,21,LO3_L,-39.89041096,-76.90182648,14.83789954,L,LO3,21
22,22,MST_L,-44.73551637,-67.28967254,11.76196474,L,MST,22
23,23,MT_L,-43.33387097,-70.24516129,14.46290323,L,MT,23
24,24,PH_L,-45.57833768,-66.01129453,-6.141615986,L,PH,24
25,25,V3CD_L,-37.97374429,-87.97945205,12.20776256,L,V3CD,25
26,26,V4t_L,-50.70973963,-78.1533269,8.677917068,L,V4t,26
27,27,1_L,-47.79559939,-25.8508346,54.51365706,L,1,27
28,28,2_L,-37.89761571,-33.24801309,51.07924264,L,2,28
29,29,3a_L,-33.5318202,-22.0787717,44.56742323,L,3a,29
30,30,3b_L,-38.47147312,-22.81434599,53.63749771,L,3b,30
31,31,4_L,-26.47735709,-20.19803267,55.7107461,L,4,31
32,32,23c_L,-11.24258521,-30.13722886,42.91146525,L,23c,32
33,33,24dd_L,-6.63564728,-13.5902439,49.51857411,L,24dd,33
34,34,24dv_L,-8.682156134,0.717472119,43.98698885,L,24dv,34
35,35,5L_L,-15.21387283,-48.74877723,71.49533126,L,5L,35
36,36,5m_L,-7.08698584,-40.6183412,61.15778827,L,5m,36
37,37,5mv_L,-13.61538462,-37.35675348,49.97456087,L,5mv,37
38,38,6ma_L,-20.62928191,4.427048972,67.26820604,L,6ma,38
39,39,6mp_L,-13.68738179,-13.86976493,70.00675493,L,6mp,39
40,40,SCEF_L,-6.338857143,4.535428571,58.47285714,L,SCEF,40
41,41,55b_L,-48.46944674,-1.069777044,50.09496284,L,55b,41
42,42,6a_L,-25.73730215,-2.3621545,54.16938342,L,6a,42
43,43,6d_L,-35.25068587,-13.60699588,65.99314129,L,6d,43
44,44,6r_L,-52.45196434,6.892373721,17.06536811,L,6r,44
45,45,6v_L,-59.39180723,3.916626506,31.98987952,L,6v,45
46,46,FEF_L,-40.67543369,-5.599888081,52.37045327,L,FEF,46
47,47,PEF_L,-47.85089463,-0.488071571,40.07355865,L,PEF,47
48,48,43_L,-57.13975648,-1.585494971,9.886712546,L,43,48
49,49,FOP1_L,-50.79863481,0.791808874,4.536973834,L,FOP1,49
50,50,OP1_L,-45.41803922,-24.0854902,20.01019608,L,OP1,50
51,51,OP2-3_L,-39.9300106,-17.08483563,19.15164369,L,OP2-3,51
52,52,OP4_L,-57.97298456,-15.10463122,15.99957118,L,OP4,52
53,53,52_L,-39.18758621,-21.35586207,0.933793103,L,52,53
54,54,A1_L,-43.53958944,-25.24828935,12.20527859,L,A1,54
55,55,LBelt_L,-44.89756098,-27.79756098,9.01097561,L,LBelt,55
56,56,MBelt_L,-44.83252818,-17.24396135,4.615136876,L,MBelt,56
57,57,PBelt_L,-52.73240256,-25.68004654,8.80919139,L,PBelt,57
58,58,PFcm_L,-50.74831763,-31.77590848,20.50942127,L,PFcm,58
59,59,RI_L,-39.37249782,-34.6283725,19.67624021,L,RI,59
60,60,A4_L,-63.27262379,-21.65054069,8.480933409,L,A4,60
61,61,A5_L,-63.37895995,-15.22175732,-1.963538553,L,A5,61
62,62,STGa_L,-51.31646074,12.98007174,-17.6990833,L,STGa,62
63,63,STSda_L,-53.98251029,-5.54063786,-12.50925926,L,STSda,63
64,64,STSdp_L,-52.80641926,-32.77683049,0.962888666,L,STSdp,64
65,65,STSva_L,-52.35773318,-9.350649351,-16.89551358,L,STSva,65
66,66,STSvp_L,-56.27674258,-35.07280883,-3.354727398,L,STSvp,66
67,67,TA2_L,-51.88471673,1.578392622,-5.250329381,L,TA2,67
68,68,AAIC_L,-35.46207639,13.86659494,-11.56589564,L,AAIC,68
69,69,AVI_L,-31.35753804,25.09405256,-3.347164592,L,AVI,69
70,70,FOP2_L,-42.75733333,-5.232,14.59066667,L,FOP2,70
71,71,FOP3_L,-36.38594164,2.359416446,12.9933687,L,FOP3,71
72,72,FOP4_L,-41.31086439,12.870341,5.243854084,L,FOP4,72
73,73,FOP5_L,-36.53276793,27.37239784,3.939861218,L,FOP5,73
74,74,Ig_L,-36.19857313,-15.4863258,14.80856124,L,Ig,74
75,75,MI_L,-37.21979068,11.06137012,2.366317793,L,MI,75
76,76,PI_L,-44.85188771,-4.322362052,-13.13359148,L,PI,76
77,77,Pir_L,-29.11630958,3.292085702,-17.54919108,L,Pir,77
78,78,PoI1_L,-39.39536168,-12.06957482,-2.81667587,L,PoI1,78
79,79,PoI2_L,-40.69930834,-3.278121587,-0.177648344,L,PoI2,79
80,80,Hipp_L,-26.27419355,-24.94109397,-14.53856942,L,Hipp,80
81,81,PreS_L,-16.78425977,-34.68739681,-12.21188773,L,PreS,81
82,82,EC_L,-23.78796427,-12.62576399,-31.01175364,L,EC,82
83,83,PeEc_L,-31.12971405,-9.016991297,-33.48528802,L,PeEc,83
84,84,TF_L,-43.36402408,-20.19443051,-30.81384847,L,TF,84
85,85,PHA1_L,-24.38563622,-37.44340359,-14.38875878,L,PHA1,85
86,86,PHA2_L,-33.27713921,-36.39719029,-11.33716475,L,PHA2,86
87,87,PHA3_L,-31.76816609,-37.35590707,-18.06327237,L,PHA3,87
88,88,PHT_L,-57.57197513,-62.21329507,3.199186992,L,PHT,88
89,89,TE1a_L,-60.96020662,-5.86435814,-22.60512722,L,TE1a,89
90,90,TE1m_L,-64.65648398,-26.86433064,-14.72327044,L,TE1m,90
91,91,TE1p_L,-61.68858909,-49.89544688,-9.548341765,L,TE1p,91
92,92,TE2a_L,-58.05499912,-24.70479705,-27.64944649,L,TE2a,92
93,93,TE2p_L,-48.69185905,-42.67776428,-21.06196841,L,TE2p,93
94,94,TGd_L,-39.10625981,11.93789246,-34.88010204,L,TGd,94
95,95,TGv_L,-37.83432593,-0.989442339,-45.09312398,L,TGv,95
96,96,PSL_L,-58.25394615,-45.72330548,25.76880223,L,PSL,96
97,97,STV_L,-62.52497847,-49.15934539,17.95650301,L,STV,97
98,98,TPOJ1_L,-55.73977165,-45.41341579,9.902949572,L,TPOJ1,98
99,99,TPOJ2_L,-52.37979275,-62.12020725,15.86943005,L,TPOJ2,99
100,100,TPOJ3_L,-46.98682171,-73.03178295,21.33953488,L,TPOJ3,100
101,101,7AL_L,-22.37722587,-51.16166823,65.28631678,L,7AL,101
102,102,7Am_L,-7.771619366,-60.05976628,61.41803005,L,7Am,102
103,103,7PC_L,-38.33100603,-47.18152967,60.24087591,L,7PC,103
104,104,7PL_L,-15.04011799,-72.66135693,56.76696165,L,7PL,104
105,105,7Pm_L,-4.32792005,-69.43660212,50.77763898,L,7Pm,105
106,106,AIP_L,-40.52276138,-39.10155078,42.63781891,L,AIP,106
107,107,LIPd_L,-30.2906746,-53.98809524,43.3452381,L,LIPd,107
108,108,LIPv_L,-30.83164783,-57.18441404,54.43902439,L,LIPv,108
109,109,MIP_L,-25.86965812,-67.17574786,48.87767094,L,MIP,109
